SCORECARD_POINTS,period,aid
3.703337,197503,css1975030400054
0.6999097,197503,css1975030400119
0.52748567,197503,css1975030400154
0.025178954,197503,css1975030500001
0.68217677,197503,css1975030500090
-1.0156387,197503,css1975030500094
1.2889792,197503,css1975030500134
-1.263702,197503,css1975030500142
2.3183393,197503,css1975030600056
3.1758516,197503,css1975030600130
1.0980793,197503,css1975030600152
-2.0638454,197503,css1975030700071
2.6968865,197503,css1975030700104
-2.3142521,197503,css1975030800016
-2.5103202,197503,css1975030800017
-0.09077464,197503,css1975030800145
1.5662831,197503,css1975031000030
-1.1420612,197503,css1975031000107
2.5349226,197503,css1975031000113
0.6945957,197503,css1975031000125
1.9552401,197503,css1975031000126
-0.38599598,197503,css1975031000156
-0.21619767,197503,css1975031100022
0.9527424,197503,css1975031100053
-0.082252815,197503,css1975031100073
-0.89758503,197503,css1975031100106
1.8291391,197503,css1975031100147
-0.23046261,197503,css1975031200100
-1.0133029,197503,css1975031300149
-0.20863438,197503,css1975031300158
-2.1304705,197503,css1975031400012
-2.4017801,197503,css1975031400032
0.20905943,197503,css1975031400127
1.7938087,197503,css1975031500082
1.53082,197503,css1975031500111
1.1035287,197503,css1975031500117
0.46723768,197503,css1975031600028
1.3265312,197503,css1975031700096
0.15832502,197503,css1975031700114
0.19454417,197503,css1975031700136
1.815346,197503,css1975031700137
0.20768729,197503,css1975031700143
-1.2721158,197503,css1975031700159
2.24433,197503,css1975031800018
2.0685537,197503,css1975031800021
3.8362362,197503,css1975031800052
-0.40248376,197503,css1975031800122
0.016093902,197503,css1975031800131
-0.8299357,197503,css1975031800141
1.0659803,197503,css1975031800148
-1.8535703,197503,css1975031900064
-1.3330777,197503,css1975031900068
-1.4218997,197503,css1975031900128
-1.8714726,197503,css1975032000058
1.3603051,197503,css1975032200150
-0.4615494,197503,css1975032300042
-0.0027037784,197503,css1975032300103
0.07018631,197503,css1975032300116
0.74821633,197503,css1975032500033
-1.7395,197503,css1975032500034
3.4449534,197504,css1975040200010
3.3154387,197504,css1975040200074
1.7856996,197504,css1975040200151
0.24319139,197504,css1975040300138
-1.4334732,197504,css1975040300140
0.48527202,197504,css1975040500041
1.2499076,197504,css1975040500094
1.82752,197504,css1975040600130
0.92563564,197504,css1975040800016
0.46212652,197504,css1975040800043
2.4462137,197504,css1975040800105
2.790814,197504,css1975040800145
-0.081546985,197504,css1975040800161
-2.0357075,197504,css1975040900081
-1.0704421,197504,css1975041000030
0.6968847,197504,css1975041000075
1.5310787,197504,css1975041000107
0.67262864,197504,css1975041000113
1.3152654,197504,css1975041000129
-0.5631731,197504,css1975041000156
-0.043379955,197504,css1975041100053
-0.8970362,197504,css1975041100106
1.7448227,197504,css1975041100147
1.9728463,197504,css1975041200059
-1.1355122,197504,css1975041200100
1.3110316,197504,css1975041200163
-0.3670506,197504,css1975041300149
-1.5769901,197504,css1975041400086
-0.42582265,197504,css1975041400127
1.8200979,197504,css1975041500023
0.96054536,197504,css1975041500046
2.3532226,197504,css1975041500057
0.97800416,197504,css1975041500079
-1.474085,197504,css1975041500089
-1.1139572,197504,css1975041600029
0.09246587,197504,css1975041600110
2.387356,197504,css1975041600133
-2.238906,197504,css1975041700027
2.180096,197504,css1975041700114
2.7660515,197504,css1975041700136
1.2724408,197504,css1975041700139
1.5060706,197504,css1975041700143
-0.644309,197504,css1975041700146
0.3026289,197504,css1975041700159
1.3714404,197504,css1975041800018
-2.4998276,197504,css1975041800052
0.44842416,197504,css1975041800131
-0.61409754,197504,css1975041800148
-0.6706873,197504,css1975041900076
1.8515923,197504,css1975042000112
-0.06589037,197504,css1975042200011
1.1759852,197504,css1975042200101
0.2892199,197504,css1975042200150
-2.5134554,197504,css1975042300042
-0.74520504,197504,css1975042300116
2.1165483,197504,css1975042400005
0.4403716,197504,css1975042400160
2.4229507,197504,css1975042500065
-0.39172167,197504,css1975042500067
-0.28774163,197504,css1975042500162
3.434009,197505,css1975050100063
-0.022090595,197505,css1975050100120
-0.5641363,197505,css1975050200014
3.0110328,197505,css1975050200047
-0.48833716,197505,css1975050200083
2.4555562,197505,css1975050200135
0.32296628,197505,css1975050300138
-0.7399345,197505,css1975050300140
-1.5140321,197505,css1975050300153
2.1265724,197505,css1975050400119
-1.3001027,197505,css1975050400154
-1.2586968,197505,css1975050500040
2.088351,197505,css1975050500041
0.29297093,197505,css1975050500051
-1.1628072,197505,css1975050500094
0.18000221,197505,css1975050500134
0.6660171,197505,css1975050600020
0.17511496,197505,css1975050600130
1.3027263,197505,css1975050600144
-0.91548926,197505,css1975050600152
-0.22752085,197505,css1975050600155
-0.24584602,197505,css1975050700104
2.334177,197505,css1975050800017
0.6794765,197505,css1975050800095
0.78144187,197505,css1975050800145
1.2263699,197505,css1975051000113
0.9063715,197505,css1975051000156
-0.17484076,197505,css1975051100003
-0.17048669,197505,css1975051100037
-1.2421952,197505,css1975051100073
0.31945172,197505,css1975051100097
-0.23123226,197505,css1975051100106
-1.2261769,197505,css1975051200055
-1.4024031,197505,css1975051300158
-0.25648305,197505,css1975051400127
2.5231512,197505,css1975051500079
2.2966607,197505,css1975051500089
-0.8604796,197505,css1975051500109
2.7848227,197505,css1975051500115
3.1206026,197505,css1975051500132
0.79335636,197505,css1975051600028
0.7782063,197505,css1975051700137
-1.3389323,197505,css1975051700143
1.0856384,197505,css1975051700146
-1.1137973,197505,css1975051700159
-0.8012596,197505,css1975051800018
-0.17773578,197505,css1975051800122
-0.23761046,197505,css1975051800141
-0.2799977,197505,css1975051900092
2.049081,197505,css1975051900128
-0.77785033,197505,css1975051900157
-0.17610389,197505,css1975052000087
3.2153606,197505,css1975052000112
0.4673057,197505,css1975052000118
0.69572043,197505,css1975052200011
3.0243287,197505,css1975052200026
1.1638702,197505,css1975052200121
-0.17570907,197505,css1975052200150
1.1401666,197505,css1975052300124
-2.235757,197505,css1975052400005
0.9647652,197505,css1975052400045
-1.1340023,197505,css1975052400160
-2.3404765,197505,css1975052500015
2.1520352,197505,css1975052500033
-0.083880745,197505,css1975052500065
3.2885036,197505,css1975052500067
-0.93257666,197505,css1975052600006
-0.43843055,197506,css1975060100063
-1.2551224,197506,css1975060100098
1.7711326,197506,css1975060100120
3.2117376,197506,css1975060100123
-0.56701106,197506,css1975060200010
-0.3672914,197506,css1975060200151
-0.5332276,197506,css1975060300153
2.5569344,197506,css1975060400048
1.6362984,197506,css1975060400078
0.90444446,197506,css1975060400093
2.5314903,197506,css1975060500040
1.5036533,197506,css1975060500070
1.0305904,197506,css1975060500094
1.9184393,197506,css1975060500134
1.2321997,197506,css1975060500142
0.4337808,197506,css1975060600130
1.5123127,197506,css1975060600144
0.9926559,197506,css1975060600152
0.93790823,197506,css1975060700004
1.5894035,197506,css1975060800105
-0.90360016,197506,css1975060800145
0.19139352,197506,css1975060800161
0.91088766,197506,css1975061000075
0.08695314,197506,css1975061000107
-0.1970249,197506,css1975061000125
-1.5586352,197506,css1975061000156
2.2412124,197506,css1975061100097
-0.42970264,197506,css1975061200066
2.1089418,197506,css1975061200084
-0.48222703,197506,css1975061200163
-2.6585655,197506,css1975061300025
-2.9048119,197506,css1975061300038
-0.6613533,197506,css1975061400008
-1.2503195,197506,css1975061400061
0.04566103,197506,css1975061500057
-0.013128019,197506,css1975061500089
-0.8365515,197506,css1975061500111
-1.3585547,197506,css1975061500115
2.5791695,197506,css1975061500117
2.0462253,197506,css1975061500132
-0.04202328,197506,css1975061700027
1.3128388,197506,css1975061700096
0.07389153,197506,css1975061700136
-1.1551733,197506,css1975061700137
2.0234842,197506,css1975061700159
2.6950073,197506,css1975061800122
3.7106652,197506,css1975061900064
-0.40091795,197506,css1975061900076
-1.361736,197506,css1975061900128
0.5525386,197506,css1975062000118
-1.5065765,197506,css1975062200026
1.5290436,197506,css1975062200150
0.4971347,197506,css1975062300116
0.67729425,197506,css1975062300124
1.0932896,197506,css1975062400085
2.0396848,197506,css1975062400160
-1.7969841,197506,css1975062500015
0.5284266,197506,css1975062500033
-1.0153202,197506,css1975062500162
-0.5406772,197507,css1975070100063
-1.9234129,197507,css1975070100098
0.34937027,197507,css1975070100123
-0.43812427,197507,css1975070200010
-1.7820725,197507,css1975070200014
1.8799137,197507,css1975070200047
-2.159488,197507,css1975070200060
-0.3807158,197507,css1975070200074
0.589879,197507,css1975070200151
-2.484735,197507,css1975070300069
-0.94095325,197507,css1975070300138
-1.2300941,197507,css1975070300140
-1.7223991,197507,css1975070400054
0.45453998,197507,css1975070400093
-0.8807382,197507,css1975070400119
-0.60342324,197507,css1975070500001
0.23008898,197507,css1975070500094
0.025594153,197507,css1975070500134
1.2010423,197507,css1975070500142
2.775337,197507,css1975070600130
-0.3633933,197507,css1975070600155
1.0831169,197507,css1975070700104
-2.5103202,197507,css1975070800016
-0.74962276,197507,css1975070800095
-0.6791,197507,css1975070800099
-0.42479426,197507,css1975070800105
-0.35776097,197507,css1975070800161
0.59178525,197507,css1975070900091
-1.5259004,197507,css1975071000030
1.3973173,197507,css1975071000113
-1.8199122,197507,css1975071100097
-0.53367126,197507,css1975071100106
1.9544201,197507,css1975071200059
0.8027228,197507,css1975071200066
3.123191,197507,css1975071200084
2.2182815,197507,css1975071200163
2.8111188,197507,css1975071300149
-2.1304705,197507,css1975071400008
-2.1564987,197507,css1975071500007
-1.2067846,197507,css1975071500089
0.25058013,197507,css1975071500111
1.7880094,197507,css1975071500115
0.5411304,197507,css1975071500117
-2.4017801,197507,css1975071600029
-1.2920786,197507,css1975071600110
-0.104366325,197507,css1975071600133
-0.8704134,197507,css1975071700114
0.24434721,197507,css1975071700136
-1.5053513,197507,css1975071700139
0.10670687,197507,css1975071700143
1.1116953,197507,css1975071700146
0.7828568,197507,css1975071700159
1.4665623,197507,css1975071800131
2.3348758,197507,css1975071800141
-1.8926097,197507,css1975071900031
0.6428066,197507,css1975071900064
0.188957,197507,css1975071900092
-0.023917524,197507,css1975071900128
1.6453729,197507,css1975072000058
0.17984505,197507,css1975072000112
1.5833833,197507,css1975072200011
2.3373973,197507,css1975072200026
2.0565157,197507,css1975072200102
2.3843691,197507,css1975072200121
1.1623595,197507,css1975072300103
0.92753994,197507,css1975072300116
-0.31839204,197507,css1975072400005
0.5788301,197507,css1975072400160
-0.5069655,197507,css1975072500015
1.9641075,197507,css1975072500044
-1.0725651,197507,css1975072500067
2.3130429,197507,css1975072500162
-0.21273082,197508,css1975080100120
-0.62910354,197508,css1975080100123
-0.48436043,197508,css1975080200014
3.1636095,197508,css1975080200047
-1.8684784,197508,css1975080200060
2.3383155,197508,css1975080200151
1.036475,197508,css1975080300138
1.6895158,197508,css1975080300140
-1.0374508,197508,css1975080400054
-0.010119466,197508,css1975080400093
0.5588371,197508,css1975080400119
-1.1987929,197508,css1975080500077
-0.91309863,197508,css1975080500090
2.721676,197508,css1975080600056
1.4049262,197508,css1975080600130
1.2215848,197508,css1975080600155
-0.29801702,197508,css1975080700004
0.38299698,197508,css1975080800016
2.1409006,197508,css1975080800017
1.838938,197508,css1975080800105
-1.0469866,197508,css1975080800145
0.47892997,197508,css1975080800161
0.092328124,197508,css1975080900091
-1.1534724,197508,css1975081000156
-0.52524686,197508,css1975081100022
-1.2903744,197508,css1975081100053
2.470757,197508,css1975081100097
-0.11466665,197508,css1975081100147
-1.6480578,197508,css1975081200055
-2.1843314,197508,css1975081200084
2.9694257,197508,css1975081200100
1.0638692,197508,css1975081200163
3.269044,197508,css1975081300149
1.3231226,197508,css1975081300158
-0.095961906,197508,css1975081400008
-2.1532054,197508,css1975081400049
-0.93686455,197508,css1975081500046
1.0630791,197508,css1975081500082
-1.2326883,197508,css1975081500111
1.1918932,197508,css1975081500117
-2.238906,197508,css1975081600028
1.1573246,197508,css1975081600072
1.6730924,197508,css1975081600110
2.2945845,197508,css1975081600133
1.4040548,197508,css1975081700096
2.3462536,197508,css1975081700114
0.31340766,197508,css1975081700136
0.8961353,197508,css1975081700143
2.5160875,197508,css1975081700146
-2.1823132,197508,css1975081700159
-2.5134554,197508,css1975081800039
-0.3298719,197508,css1975081800141
-0.77264047,197508,css1975081900031
3.1153007,197508,css1975081900076
0.6393544,197508,css1975081900128
2.5482757,197508,css1975082000108
1.5698553,197508,css1975082000112
-0.87654257,197508,css1975082000118
1.9896821,197508,css1975082200011
-0.622008,197508,css1975082200026
0.86771953,197508,css1975082200121
0.68052953,197508,css1975082200150
3.5326803,197508,css1975082300103
-1.4738568,197508,css1975082400088
0.1078293,197508,css1975082400160
0.33049476,197508,css1975082500065
0.5244584,197508,css1975082500067
1.7960325,197508,css1975082500162
-1.9457657,197508,css1975082600019
0.405078,197509,css1975090100063
-0.41058654,197509,css1975090100123
3.124943,197509,css1975090200010
0.4873117,197509,css1975090200014
1.7819998,197509,css1975090200135
2.0198686,197509,css1975090200151
-0.9046836,197509,css1975090300138
-0.50826097,197509,css1975090300140
-0.66876984,197509,css1975090300153
2.715082,197509,css1975090400048
0.5204566,197509,css1975090400078
1.431027,197509,css1975090400154
0.818746,197509,css1975090500051
0.7827254,197509,css1975090500142
-0.046638504,197509,css1975090600056
1.5382456,197509,css1975090600130
2.6208994,197509,css1975090600144
-1.4661902,197509,css1975090600155
0.7983515,197509,css1975090700104
1.2983958,197509,css1975090800016
2.2495432,197509,css1975090800024
2.4878395,197509,css1975090800145
0.9531432,197509,css1975090800161
-0.34252375,197509,css1975091000075
-0.5701867,197509,css1975091000125
2.8198278,197509,css1975091000126
1.7119759,197509,css1975091000129
-0.21664485,197509,css1975091000156
2.9740057,197509,css1975091100022
-0.86653525,197509,css1975091100053
-0.31160176,197509,css1975091100147
0.14330998,197509,css1975091200100
-1.0118955,197509,css1975091200163
-0.7044207,197509,css1975091300158
2.5022063,197509,css1975091400008
-0.524195,197509,css1975091500079
-0.0027963081,197509,css1975091500109
0.34812823,197509,css1975091500132
-0.6618123,197509,css1975091600110
3.243751,197509,css1975091600133
2.3150535,197509,css1975091700136
-1.2765018,197509,css1975091700139
-0.25993714,197509,css1975091700146
0.28260446,197509,css1975091700159
2.0517364,197509,css1975091800018
0.25517952,197509,css1975091800039
-2.5267372,197509,css1975091800052
-0.8934727,197509,css1975091800131
0.12699378,197509,css1975091800141
-0.86265534,197509,css1975091900064
-1.6162362,197509,css1975091900128
-1.1328206,197509,css1975092000087
-0.66561335,197509,css1975092200026
2.62801,197509,css1975092200102
1.9035715,197509,css1975092200121
-0.073702484,197509,css1975092200150
-0.14389096,197509,css1975092300013
2.038719,197509,css1975092300124
-1.7690537,197509,css1975092400005
-0.37973917,197509,css1975092400045
0.09326877,197509,css1975092400085
0.5788301,197509,css1975092400160
-0.3912956,197509,css1975092500044
-0.21086785,197509,css1975092500065
-1.7884891,197509,css1975092500162
-1.5252006,197509,css1975092600006
-1.3398396,197510,css1975100100063
2.8182282,197510,css1975100100098
3.652807,197510,css1975100100123
0.70236844,197510,css1975100200151
-0.80070084,197510,css1975100300153
0.08784716,197510,css1975100400054
-0.67383796,197510,css1975100400078
0.36123747,197510,css1975100400119
2.5714147,197510,css1975100400154
2.957627,197510,css1975100500090
-0.63065624,197510,css1975100600056
0.015337966,197510,css1975100600130
-2.068122,197510,css1975100700071
1.0168043,197510,css1975100800016
0.4482083,197510,css1975100800036
-0.2193276,197510,css1975100800080
-0.09861142,197510,css1975100800095
1.2955842,197510,css1975100800105
1.4650326,197510,css1975100800145
1.4243704,197510,css1975100800161
1.1021101,197510,css1975101000107
0.26612425,197510,css1975101000125
0.5671113,197510,css1975101000126
-1.484304,197510,css1975101000156
-3.0481098,197510,css1975101100037
-0.23669603,197510,css1975101100053
2.82061,197510,css1975101100106
0.80883586,197510,css1975101100147
0.99053687,197510,css1975101200059
-0.610106,197510,css1975101200084
1.7858523,197510,css1975101200100
-1.1747487,197510,css1975101200163
-2.6585655,197510,css1975101300025
1.8917872,197510,css1975101300038
1.1489795,197510,css1975101300149
-0.23041618,197510,css1975101300158
0.38561437,197510,css1975101400008
-0.28340283,197510,css1975101500057
2.9446375,197510,css1975101500082
0.18524566,197510,css1975101600028
-0.25362808,197510,css1975101600133
0.8885071,197510,css1975101700114
-0.8761179,197510,css1975101700143
-1.2010337,197510,css1975101700146
-0.3705044,197510,css1975101700159
-0.36089042,197510,css1975101900157
-1.211131,197510,css1975102000058
0.98918194,197510,css1975102000108
0.58904463,197510,css1975102000118
-2.5066547,197510,css1975102200026
-1.7624882,197510,css1975102300013
3.250822,197510,css1975102400045
0.67648494,197510,css1975102400085
2.4772246,197510,css1975102400088
-0.041264094,197510,css1975102400160
-0.25465247,197510,css1975102500034
-0.46576592,197510,css1975102500044
-0.6919042,197510,css1975102500065
-1.4316609,197510,css1975102500162
-1.0529127,197511,css1975110100063
1.1067644,197511,css1975110100123
1.6544644,197511,css1975110200009
1.8601761,197511,css1975110200060
-1.8106297,197511,css1975110200083
-2.0241408,197511,css1975110200135
0.46651542,197511,css1975110200151
1.0441653,197511,css1975110300069
-0.32104307,197511,css1975110300138
0.1513947,197511,css1975110300153
2.838322,197511,css1975110400054
0.43728822,197511,css1975110400093
-0.24157244,197511,css1975110400154
0.12776107,197511,css1975110500041
1.1151279,197511,css1975110500094
0.062235095,197511,css1975110500142
-2.1300738,197511,css1975110600056
-1.3887147,197511,css1975110600144
-0.6313773,197511,css1975110600152
2.6152768,197511,css1975110600155
1.4848633,197511,css1975110700104
-2.307378,197511,css1975110800024
0.007086293,197511,css1975110800043
1.0733527,197511,css1975110800080
-0.8846028,197511,css1975110800099
1.0185937,197511,css1975110800105
-1.1836126,197511,css1975110800161
2.1855776,197511,css1975110900091
1.5661012,197511,css1975111000075
0.59822476,197511,css1975111000125
2.0688927,197511,css1975111000126
-0.95482725,197511,css1975111000129
0.74108845,197511,css1975111000156
2.1785011,197511,css1975111100022
2.271418,197511,css1975111100053
2.5617063,197511,css1975111100097
1.2065676,197511,css1975111100106
-1.8048104,197511,css1975111100147
0.26066944,197511,css1975111200059
0.31847206,197511,css1975111200066
-1.3890563,197511,css1975111200100
-1.3734729,197511,css1975111200163
-1.5259004,197511,css1975111300025
1.9210182,197511,css1975111300149
-2.1304705,197511,css1975111400008
0.63970137,197511,css1975111400061
-0.015770406,197511,css1975111500007
2.0009227,197511,css1975111500082
-0.566547,197511,css1975111500109
0.51932096,197511,css1975111500115
1.2531036,197511,css1975111500132
1.1580647,197511,css1975111600035
0.8440022,197511,css1975111600110
1.3005599,197511,css1975111600133
-1.8560531,197511,css1975111700027
0.16063404,197511,css1975111700114
-0.4785871,197511,css1975111700136
0.998498,197511,css1975111700137
-0.6061527,197511,css1975111700159
-2.267878,197511,css1975111800052
-0.1606004,197511,css1975111800122
1.8003185,197511,css1975111800148
-2.484735,197511,css1975111900064
1.9900318,197511,css1975111900092
1.7973672,197511,css1975111900128
-1.0758408,197511,css1975112000058
-0.35467422,197511,css1975112000108
-0.30375293,197511,css1975112000112
1.4192901,197511,css1975112200101
0.5834158,197511,css1975112200102
-0.40200338,197511,css1975112300013
0.5138388,197511,css1975112300103
1.6173519,197511,css1975112300116
-0.567622,197511,css1975112400085
-0.029940033,197511,css1975112400160
-2.5103202,197511,css1975112500015
0.5388878,197511,css1975112500044
1.6980547,197511,css1975112500065
-0.29646063,197511,css1975112500162
0.3446533,197511,css1975112600006
1.3405284,197512,css1975120100123
-0.44954503,197512,css1975120200010
-1.7392453,197512,css1975120200083
-1.891355,197512,css1975120200193
1.2202588,197512,css1975120300171
-0.1584199,197512,css1975120300184
1.251028,197512,css1975120400048
3.2329807,197512,css1975120400093
-1.9096029,197512,css1975120400119
1.394882,197512,css1975120400154
-1.4763875,197512,css1975120400178
1.4493537,197512,css1975120500001
3.0541496,197512,css1975120500041
-2.227031,197512,css1975120500051
-0.41026077,197512,css1975120500134
-0.5788226,197512,css1975120500172
3.2940226,197512,css1975120600020
0.22927073,197512,css1975120600130
1.1964334,197512,css1975120600152
2.003433,197512,css1975120600169
-1.1767055,197512,css1975120600177
-0.70624334,197512,css1975120600183
-0.02726733,197512,css1975120700182
-0.83232504,197512,css1975120800017
-0.26107886,197512,css1975120800024
2.139182,197512,css1975120800099
0.19508046,197512,css1975120800145
0.6200494,197512,css1975120800198
-1.5002595,197512,css1975120900091
-0.7902981,197512,css1975120900173
-2.1116133,197512,css1975121000030
2.1569989,197512,css1975121000075
3.1859283,197512,css1975121000107
0.0012185201,197512,css1975121000129
-0.448333,197512,css1975121100106
-0.8338472,197512,css1975121100147
-0.18137065,197512,css1975121100181
-0.19828367,197512,css1975121100187
0.35980397,197512,css1975121100199
-1.9449155,197512,css1975121200055
0.37380198,197512,css1975121200066
2.5474584,197512,css1975121200163
-1.6391596,197512,css1975121200196
2.2531605,197512,css1975121300149
-0.7831556,197512,css1975121300180
-0.8661608,197512,css1975121300188
0.4745807,197512,css1975121400008
-0.09014658,197512,css1975121400032
-0.8531396,197512,css1975121400194
-1.534365,197512,css1975121500023
-0.6112435,197512,css1975121500111
1.2644012,197512,css1975121500132
-0.83791363,197512,css1975121600072
-0.63347316,197512,css1975121600110
0.9648419,197512,css1975121600190
0.012785785,197512,css1975121600192
1.2173177,197512,css1975121700027
-1.292507,197512,css1975121700114
1.7886529,197512,css1975121700136
0.87293714,197512,css1975121700137
2.5823548,197512,css1975121700139
1.248663,197512,css1975121700143
-0.1461345,197512,css1975121700146
-0.7409538,197512,css1975121700159
-2.327206,197512,css1975121800018
-2.5134554,197512,css1975121800039
-1.4426907,197512,css1975121800131
1.5044223,197512,css1975121800141
-1.7366188,197512,css1975121800148
-0.23041618,197512,css1975121800186
1.0231588,197512,css1975121800195
0.6014978,197512,css1975121900064
-1.010451,197512,css1975121900174
0.089748874,197512,css1975122000058
1.927051,197512,css1975122000087
2.7437432,197512,css1975122000112
-0.23847461,197512,css1975122000118
0.57014805,197512,css1975122200011
0.78481764,197512,css1975122200102
-1.2683597,197512,css1975122200121
2.0462098,197512,css1975122200197
-0.16599949,197512,css1975122300042
2.5838444,197512,css1975122300124
-0.42222318,197512,css1975122300189
0.4220592,197512,css1975122400088
-1.2804124,197512,css1975122500033
0.9520845,197512,css1975122500067
0.25490788,197512,css1975122500175
1.2018964,197512,css1975122600006
1.2795115,197512,css1975122600019
-0.7554071,197601,css1976010100098
2.408336,197601,css1976010100120
3.7588491,197601,css1976010100123
0.7354295,197601,css1976010200009
-0.103007674,197601,css1976010200014
0.5224778,197601,css1976010200060
-0.37757963,197601,css1976010200074
-2.0241408,197601,css1976010400119
-1.1529651,197601,css1976010400154
0.62815994,197601,css1976010500001
0.050038293,197601,css1976010500077
0.35558215,197601,css1976010500094
-0.2915274,197601,css1976010500142
-2.3125901,197601,css1976010600056
-0.72462374,197601,css1976010600144
-1.3181572,197601,css1976010600152
-0.13477547,197601,css1976010600155
0.00021606684,197601,css1976010700104
-0.7850078,197601,css1976010800095
0.18115631,197601,css1976010800099
